Accession,Species,Bacteria or Archaea,Genome Length (nt),Coding Length (nt),Non-coding Length (nt),Total Genes,Coding Genes,Total COGs,COGs/coding genes,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,Y,Z
NZ_CP012752,Kibdelosporangium phytohabitans,Bacteria,11759770,10396058,1363712,10578,10276,8576,0.835,1,3,499,55,658,142,641,345,417,247,1207,294,319,12,239,322,480,1246,589,607,54,191,0,0,8
NC_016582,Streptomyces bingchenggensis BCW-1,Bacteria,11936683,10354559,1582124,9787,9309,8095,0.870,3,1,469,46,639,119,828,271,417,232,1165,272,311,5,181,278,463,1135,516,528,52,161,0,0,3
NC_014318,Amycolatopsis mediterranei U32,Bacteria,10236715,9136554,1100161, , ,8031,#VALUE!,4,1,526,46,579,126,718,322,460,213,1122,245,326,19,196,261,458,1150,561,501,53,141,0,0,3
NC_007951,Paraburkholderia xenovorans LB400,Bacteria,9731138,8292396,1438742,8623,8386,7893,0.941,1,2,612,54,843,106,512,246,471,206,722,315,488,131,216,453,329,966,566,377,204,69,4,0,0
NC_013595,Streptosporangium roseum DSM 43021,Bacteria,10369518,8832826,1536692,9070,8827,7755,0.879,2,1,431,53,643,128,641,259,327,231,1097,310,305,6,183,340,340,1123,567,523,50,191,0,0,4
NC_015951,Streptomyces violaceusniger Tu 4113,Bacteria,11138313,9536838,1601475,9205,8734,7474,0.856,2,1,460,55,567,119,671,269,396,216,1067,313,289,7,191,257,413,1051,472,474,47,134,0,0,3
NC_008268,Rhodococcus jostii RHA1,Bacteria,9702737,8436650,1266087,8816,8465,7432,0.878,2,1,584,46,653,109,483,268,645,203,789,329,206,9,175,368,506,1140,526,272,39,79,0,0,0
NC_004463,Bradyrhizobium diazoefficiens USDA 110,Bacteria,9105828,7926204,1179624, , ,7353,#VALUE!,0,2,493,42,783,98,462,243,397,218,532,348,351,148,250,370,299,916,716,423,144,112,3,0,3
NZ_CP007155,Kutzneria albida DSM 43870,Bacteria,9874926,8771216,1103710,8683,8513,7350,0.863,2,1,459,55,590,118,538,310,397,222,971,255,290,9,215,256,472,1029,495,466,45,151,0,0,4
NZ_CP011509,Archangium gephyra,Bacteria,12489432,11293993,1195439,9988,9579,7313,0.763,5,4,313,88,400,107,289,212,298,241,568,337,391,174,288,230,280,1176,711,863,192,131,0,0,15
NC_022657,Actinoplanes friuliensis DSM 7358,Bacteria,9376071,8393613,982458,8617,8405,7274,0.865,2,4,372,45,452,114,649,270,279,229,1032,215,297,80,166,261,227,1113,561,631,68,204,0,0,3
NC_010162,Sorangium cellulosum So ce56,Bacteria,13033779,11132420,1901359,9524,9326,7273,0.780,5,2,356,57,409,92,350,242,239,211,750,500,340,81,252,276,238,1157,701,795,122,88,0,0,10
NZ_CP016793,Lentzea guizhouensis,Bacteria,9997872,8996233,1001639,9571,8937,7222,0.808,1,3,379,43,529,135,600,265,358,218,964,222,276,10,201,278,351,1111,548,532,50,145,0,0,3
NC_013131,Catenulispora acidiphila DSM 44928,Bacteria,10467782,9118867,1348915,8921,8708,7179,0.824,1,0,394,52,519,106,752,245,339,208,1036,226,351,8,182,243,299,1035,517,442,62,160,0,0,2
NC_017249,Bradyrhizobium japonicum USDA 6,Bacteria,9207384,7741975,1465409,8476,8193,7128,0.870,1,2,455,35,767,97,482,236,357,219,523,253,325,133,242,376,297,944,750,405,128,99,1,0,1
NZ_CP008953,Amycolatopsis japonica,Bacteria,9053857,8172184,881673,8459,8316,6994,0.841,1,1,424,53,580,118,523,275,347,222,987,212,269,6,199,262,370,1004,518,427,48,145,0,0,3
NZ_CP012981,Burkholderia cepacia ATCC 25416,Bacteria,8605945,7324139,1281806,7682,7501,6992,0.932,2,4,435,43,718,112,481,233,329,213,775,209,421,130,193,343,231,909,604,319,197,87,4,0,0
NC_013929,Streptomyces scabiei 87.22,Bacteria,10148695,8704812,1443883,8691,8440,6978,0.827,2,1,384,46,574,121,603,262,342,219,895,320,281,6,176,241,311,999,484,500,52,156,0,0,3
NC_018681,Nocardia brasiliensis ATCC 700358,Bacteria,9436348,8229946,1206402,8434,8280,6966,0.841,1,1,452,44,518,109,407,305,491,218,924,204,245,6,158,293,498,1049,526,346,33,135,0,0,3
NZ_CP010536,Cupriavidus basilensis,Bacteria,8421483,7170816,1250667,7493,7294,6947,0.952,1,4,517,53,670,93,356,224,442,206,734,182,368,133,199,336,305,819,694,361,170,79,0,0,1
NZ_CP009323,Burkholderia gladioli,Bacteria,8899459,7554337,1345122,7441,7240,6778,0.936,1,3,387,44,692,109,512,226,306,212,769,209,447,139,191,322,245,880,500,306,206,71,1,0,0
NC_010622,Paraburkholderia phymatum STM815,Bacteria,8676562,7330638,1345924,7703,7419,6766,0.912,1,2,512,45,715,101,507,222,302,198,635,272,399,119,218,295,206,816,582,397,147,70,5,0,0
NC_014623,Stigmatella aurantiaca DW4,Bacteria,10260756,9334942,925814,8380,8145,6720,0.825,6,3,269,72,366,112,351,209,264,230,582,457,346,159,242,217,233,1059,516,742,173,97,1,0,14
NZ_CP010407,Streptomyces vietnamensis,Bacteria,9153777,7966192,1187585,8143,7860,6699,0.852,1,4,372,40,613,134,445,250,339,222,916,297,263,8,178,251,296,955,459,455,50,147,0,0,4
NC_003888,Streptomyces coelicolor A3(2),Bacteria,9054847,8008856,1045991, , ,6681,#VALUE!,3,1,367,50,482,118,615,251,285,224,931,278,283,11,177,266,253,950,466,465,55,146,0,0,4
NC_021191,Actinoplanes sp. N902-109,Bacteria,9228054,8191838,1036216,7945,7729,6559,0.849,2,1,371,50,466,108,584,254,277,220,815,199,296,69,167,229,283,927,464,573,68,134,0,0,2
NZ_CP011125,Sandaracinus amylolyticus,Bacteria,10327335,9421012,906323,8851,8656,6520,0.753,3,4,276,70,320,87,221,194,285,205,670,443,337,90,251,246,185,1078,556,683,196,87,0,0,33
NC_017093,Actinoplanes missouriensis 431,Bacteria,8773466,7826487,946979,8012,7804,6498,0.833,3,2,366,48,454,108,577,244,292,210,819,211,265,87,157,251,205,909,490,585,63,151,0,0,1
NC_019673,Saccharothrix espanaensis DSM 44229,Bacteria,9360653,8166500,1194153,8275,8075,6476,0.802,1,3,354,55,511,117,413,259,306,206,855,226,257,8,200,264,333,958,493,448,46,160,0,0,3
NZ_CP015098,Streptomyces sp. S10(2016),Bacteria,9083372,7864300,1219072,7976,7669,6471,0.844,2,1,359,40,565,118,596,254,282,219,811,229,276,10,168,259,231,910,458,460,57,162,0,0,4
NZ_LN997842,Streptomyces reticuli,Bacteria,9336224,8062679,1273545,8046,7778,6464,0.831,2,1,365,44,574,131,574,238,330,226,809,218,256,7,187,226,312,916,457,420,44,123,0,0,4
NZ_CP016079,Mesorhizobium loti NZP2037,Bacteria,7481739,6484175,997564,7164,6963,6425,0.923,0,5,373,36,807,97,627,230,272,200,589,199,319,44,196,262,213,822,663,259,128,80,1,0,3
NC_008536,Candidatus Solibacter usitatus Ellin6076,Bacteria,9965640,9000575,965065,8113,7991,6422,0.804,1,3,377,28,414,93,465,206,194,189,484,338,462,105,204,300,166,953,584,425,188,242,1,0,0
NZ_CP015736,Shinella sp. HZN7,Bacteria,7354253,6481389,872864,6963,6703,6394,0.954,1,7,368,50,826,107,553,202,229,193,601,327,241,87,175,382,193,747,590,303,147,63,1,0,1
NZ_CP007574,Streptomyces albulus,Bacteria,9372401,7843050,1529351,7998,7542,6373,0.845,1,1,383,42,532,148,413,272,360,224,848,207,257,14,166,243,359,900,440,389,57,114,0,1,2
NZ_CP016428,Bradyrhizobium icense,Bacteria,8322773,6908081,1414692,7714,7425,6357,0.856,0,3,437,41,697,70,357,252,347,210,434,241,318,83,232,318,300,824,677,306,118,91,0,0,1
NZ_CP012159,Chondromyces crocatus,Bacteria,11388132,9811857,1576275,8303,8036,6312,0.785,4,3,293,67,311,91,246,176,268,197,553,431,325,82,232,191,274,1039,626,668,132,82,0,0,21
NC_014666,Frankia inefficax,Bacteria,8815781,7501134,1314647,7208,6953,6294,0.905,2,2,437,46,454,114,332,203,570,169,731,215,222,3,158,242,440,1064,376,374,38,101,0,0,1
NC_020453,Bradyrhizobium oligotrophicum S58,Bacteria,8264165,7057303,1206862,7132,7010,6290,0.897,0,3,435,32,684,84,415,217,307,204,449,153,294,148,248,325,265,808,599,375,149,94,0,0,2
NZ_CP015880,Ensifer adhaerens,Bacteria,7267502,6282300,985202,6839,6633,6249,0.942,0,2,335,39,758,122,579,198,207,218,609,194,308,75,189,347,165,811,638,302,82,69,0,0,2
NC_020126,Myxococcus stipitatus DSM 14675,Bacteria,10350586,9269806,1080780,8052,7859,6237,0.794,7,3,259,70,357,94,227,205,296,228,551,318,350,129,242,220,264,962,539,583,186,135,0,0,12
NC_017803,Actinoplanes sp. SE50,Bacteria,9239851,8032020,1207831,8197,7930,6231,0.786,3,1,303,53,431,108,524,224,228,207,774,251,289,100,168,190,187,848,512,633,70,123,0,0,4
NZ_CP006850,Nocardia nova SH22a,Bacteria,8348532,7305056,1043476,7499,7256,6186,0.853,3,2,480,39,387,101,294,235,630,184,761,166,170,6,133,267,596,925,456,222,32,97,0,0,0
NZ_CP006877,Rhizobium gallicum bv. gallicum R602,Bacteria,7311190,6271044,1040146,6959,6686,6165,0.922,0,2,370,36,663,98,682,204,221,194,563,196,295,78,185,337,164,794,611,285,119,68,0,0,0
NC_017030,Corallococcus coralloides DSM 2259,Bacteria,10080619,9078136,1002483,8058,7887,6144,0.779,6,4,273,61,346,97,256,198,273,230,530,299,363,139,252,207,223,933,552,605,170,115,0,0,12
NC_011887,Methylobacterium nodulans ORS 2060,Bacteria,8839022,7011556,1827466,8222,7831,6139,0.784,1,4,409,51,604,78,346,258,288,194,505,419,339,72,181,299,201,745,626,334,100,83,1,0,1
NC_009142,Saccharopolyspora erythraea NRRL 2338,Bacteria,8212805,6990013,1222792,7133,7004,6123,0.874,2,1,420,42,554,124,487,272,320,202,697,304,228,2,168,275,317,870,435,294,30,78,0,0,1
NC_003155,Streptomyces avermitilis MA-4680 = NBRC 14893,Bacteria,9119895,7748948,1370947,7770,7431,6122,0.824,2,1,335,46,533,115,545,213,311,201,785,234,253,5,169,215,301,846,426,404,45,135,0,0,2
NZ_CP017561,Paraburkholderia sprentiae WSM5005,Bacteria,7829542,6633184,1196358,6977,6702,6118,0.913,1,1,427,49,595,95,474,214,287,197,555,225,393,111,185,293,177,753,523,313,161,81,7,0,1
NZ_CP011340,Streptomyces pristinaespiralis,Bacteria,8532592,7362119,1170473,7282,7054,6110,0.866,1,1,320,41,486,106,548,235,334,222,754,229,282,5,142,220,271,842,481,404,42,142,0,0,2
NZ_CP015318,Mesorhizobium amorphae CCNWGS0123,Bacteria,7343952,6364127,979825,6820,6578,6082,0.925,0,4,361,37,807,93,546,221,252,205,518,193,319,49,199,275,209,784,583,230,121,75,0,0,1
NZ_CP007045,Rhizobium leguminosarum bv. trifolii WSM1689,Bacteria,6903379,6024353,879026,6587,6391,6024,0.943,0,2,301,45,649,103,701,183,224,203,574,155,325,83,189,305,152,776,600,305,84,65,0,0,0
NZ_CP011636,Klebsiella oxytoca,Bacteria,7227285,6380921,846364,7259,6816,6020,0.883,2,0,344,53,540,111,645,218,142,212,590,420,291,134,179,347,144,620,473,246,222,87,0,0,0
NC_013729,Kribbella flavida DSM 17836,Bacteria,7579488,6770876,808612,7031,6890,5998,0.871,1,2,306,44,432,102,650,259,243,237,851,183,253,3,157,229,207,923,447,272,50,144,0,0,3
NC_003037,Sinorhizobium meliloti 1021,Bacteria,6691694,5782195,909499, , ,5995,#VALUE!,0,1,348,41,662,108,611,195,212,201,519,297,298,70,182,317,167,765,597,249,90,64,1,0,0
NC_008596,Mycobacterium smegmatis str. MC2 155,Bacteria,6988209,6376057,612152, , ,5948,#VALUE!,2,1,503,32,524,100,438,210,514,188,614,217,177,7,142,294,430,877,405,192,28,53,0,0,0
NZ_LN901633,Bradyrhizobium sp.,Bacteria,7547693,6414380,1133313,7163,6940,5942,0.856,1,2,387,35,588,87,392,202,320,217,380,209,315,134,198,285,240,776,618,369,101,85,0,0,1
NZ_CP017157,Streptomyces lydicus,Bacteria,8201357,6981680,1219677,7128,6872,5941,0.865,3,1,360,49,509,122,447,234,284,218,786,194,238,5,164,233,254,846,438,389,41,124,0,0,2
NC_010572,Streptomyces griseus subsp. griseus NBRC 13350,Bacteria,8545929,7430083,1115846,7091,6935,5928,0.855,1,2,306,40,502,104,460,229,279,211,726,219,267,6,163,298,281,807,426,400,48,150,0,0,3
